N,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,porpag,adjoe,pfr,pid,ast.tov,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,extra,ET,VaCatEf
2725,Royal Edwards,Pacific,BW,2,0.9,63.6,9.9,0,0,0,32.2,29,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.566323,55.366,3.3,5831,0,99.2647,92.3382,0.664844,2.17666,-6.40624,-5.59924,-0.806995,-0.750151,6,-3.09418,2.34403,0,1.5,1.5,1,0,0,0,5.46241,0,BAJO
2726,Lavar Neufville,Pacific,BW,33,39,90.2,21,44.2,45.24,3.3,11.3,27.6,26.4,22,46,0.478,35,81,0.432,10,32,0.313,1.2,3.8,40.7,0.330171,90.3611,3.1,5832,1.61366534,98.9676,98.6466,1.49642,96.2801,-0.274233,-1.40042,1.12619,-0.0899084,15.9091,-1.69952,1.60962,0.3939,1.3939,1.7879,2.1515,0.9091,0.1515,3.697,4.03378,0.3002829218107,MEDIO
2727,Kashif Pratt,Iona,MAAC,14,22.6,88.9,20.1,47.2,48.09,2.6,10.1,14.8,21.3,8,14,0.571,24,43,0.558,12,46,0.261,0.9,1.3,15.7,0.350083,89.2671,5.5,5836,0.80001402,98.8804,100.533,1.80174,45.2028,-1.50826,-1.61632,0.108061,-3.44445,20.3571,-3.26117,-0.183282,0.4286,1.6429,2.0714,1.1429,0.4286,0.1429,6.5714,9.86228,0.316481294236603,MEDIO
2728,Casey Crawford,Colorado,B12,24,28.4,103.3,21.6,49.6,51.58,6.4,10,10.9,10,14,19,0.737,28,56,0.5,20,61,0.328,1,2.2,16.2,1.16532,107.872,5.6,5839,1.25,104.718,101.16,1.23948,57.3184,1.35412,2.43665,-1.08253,1.04761,14.375,1.11382,-0.0662142,0.6667,1.125,1.7917,0.625,0.5,0.125,5.4167,11.0338,0.330601092896175,MEDIO
2729,Anthony Gurley,Massachusetts,A10,29,70.6,93.6,20.6,48.5,50.76,2,9.6,5.7,17.5,39,53,0.736,61,139,0.439,54,154,0.351,0.2,1.1,18.1,1.2082,96.5967,2.2,5840,0.44230662,109.142,105.675,2.01782,118.918,-3.19796,-0.570183,-2.62778,-2.82931,28.4828,-0.665164,-2.16415,0.5172,2.4828,3,0.7931,0.5517,0.069,11.1379,10.6688,0.321607648945778,MEDIO
2730,Cameron Tyler,Fairleigh Dickinson,NEC,30,87.4,88.8,26.5,41.8,47.81,2.8,8.6,34.5,26.2,125,188,0.665,104,243,0.428,22,85,0.259,0.3,1.7,57.3,1.04989,92.9207,2.3,5846,1.2403023,111.537,114.546,1.42204,159.008,-6.00886,-1.72121,-4.28765,-5.39525,35.4,-1.33658,-4.05867,0.8667,2.5333,3.4,5.3333,1.0333,0.1,13.3,4.57302,0.272072944404099,BAJO
2731,Matthew Wilson,American,Pat,18,4.9,81.7,12.9,33.3,59.83,4.3,11.6,14,47.8,5,6,0.833,1,2,0.5,0,1,0,0,0,200,-0.137847,72.9168,6.3,5853,0.83348334,100.532,105.39,0.253546,8.61722,-6.53738,-5.03622,-1.50116,-8.00399,3.5,-6.90914,-1.09485,0.1111,0.3333,0.4444,0.2778,0,0,0.3889,1.02571,0.166666666666667,BAJO
2732,Tom Neary,Loyola Chicago,Horz,10,1,42.3,9.6,0,0,16.7,18.6,0,49.2,0,0,0,0,1,0,0,0,0,16.7,0,0,-0.225834,34.204,6.2,5871,0,97.891,99.7104,0.119796,2.71113,-6.54163,-10.5127,3.97107,-7.16461,1.3,-7.49632,0.331711,0.2,0.2,0.4,0,0,0.2,0,0,0,BAJO
2733,Sammy Schafer,Air Force,MWC,22,27.2,91.5,16.9,45.7,49.96,3.6,12.2,18.4,23.7,22,38,0.579,20,38,0.526,1,9,0.111,4.3,0.8,80.9,0.215901,88.5987,4.7,5874,1.26320047,106.179,102.756,1.17185,47.1283,-2.8174,-3.2754,0.457997,-1.62548,14.3636,-2.75202,1.12654,0.3636,1.3182,1.6818,1.0909,0.1818,0.4091,2.9545,1.90291,0.230994152046784,BAJO
2734,Taylor Stewart,Air Force,MWC,29,35,71.3,17,39.9,42.29,4.2,9.5,12.3,32.8,11,19,0.579,17,46,0.37,7,23,0.304,0.4,1.7,27.5,-0.75376,68.7511,3.4,5875,0.61762197,107.329,104.361,1.06418,57.4714,-6.69067,-5.60977,-1.0809,-6.75809,14,-5.60638,-1.15171,0.4138,1,1.4138,0.7241,0.3448,0.0345,2.2759,3.77924,0.27536231884058,BAJO
2735,Garrett Stutz,Wichita St.,MVC,33,30.8,90.6,21.6,49.2,52.16,8.9,17.5,3.4,26.1,22,30,0.733,51,105,0.486,5,14,0.357,5.7,0.6,25.2,0.421544,94.1169,6.3,5876,0.16665139,99.6065,97.5488,1.22904,70.7051,-3.74941,-4.21828,0.46887,-3.67817,12.3333,-4.02671,0.348539,0.8788,1.6667,2.5455,0.1818,0.1212,0.5758,4.2121,2.19022,0.34047619047619,MEDIO
2736,Jon Atkins,Air Force,MWC,10,5.7,78.4,20.2,45.8,43.01,4.3,26.3,18.1,25,3,9,0.333,1,6,0.167,3,6,0.5,0,2,75,-0.113287,79.3203,1.8,5877,1,99.693,98.9958,0.624562,12.6663,-4.6856,-4.31475,-0.370846,-1.08446,6.6,-1.63642,0.551953,0.2,1.3,1.5,0.5,0.2,0,1.4,6.0537,0.305555555555556,MEDIO
2737,Shawn Hempsey,Air Force,MWC,15,13,67,13.1,40.5,40.13,0,12.4,14,33.7,1,3,0.333,7,11,0.636,1,10,0.1,2,1.3,14.3,-0.823576,60.6899,4,5878,0.89995503,106.091,102.772,0.820724,22.6074,-6.47936,-6.19024,-0.289122,-6.96568,10.0667,-6.12323,-0.842448,0,0.9333,0.9333,0.6,0.2,0.1333,1.2,4.42386,0.262121212121212,BAJO
2738,Vincent Cordell,Cal St. Northridge,BW,24,30,106.8,13.1,50.6,52.89,7.3,12.9,5.4,17.5,15,23,0.652,27,57,0.474,8,20,0.4,1.6,1.7,29.9,0.572123,95.2814,6.1,5879,0.73327999,99.7806,99.4574,1.39256,66.6598,1.11983,-0.0685546,1.18838,-0.304493,15.125,-1.24628,0.941783,0.9583,1.7083,2.6667,0.4583,0.4583,0.2083,3.875,3.05983,0.357894736842105,MEDIO
